State,County,Code
AL,Autauga County,AL-001
AL,Baldwin County,AL-003
AL,Barbour County,AL-005
AL,Bibb County,AL-007
AL,Blount County,AL-009
AL,Bullock County,AL-011
AL,Butler County,AL-013
AL,Calhoun County,AL-015
AL,Chambers County,AL-017
AL,Cherokee County,AL-019
AL,Chilton County,AL-021
AL,Choctaw County,AL-023
AL,Clarke County,AL-025
AL,Clay County,AL-027
AL,Cleburne County,AL-029
AL,Coffee County,AL-031
AL,Colbert County,AL-033
AL,Conecuh County,AL-035
AL,Coosa County,AL-037
AL,Covington County,AL-039
AL,Crenshaw County,AL-041
AL,Cullman County,AL-043
AL,Dale County,AL-045
AL,Dallas County,AL-047
AL,DeKalb County,AL-049
AL,Elmore County,AL-051
AL,Escambia County,AL-053
AL,Etowah County,AL-055
AL,Fayette County,AL-057
AL,Franklin County,AL-059
AL,Geneva County,AL-061
AL,Greene County,AL-063
AL,Hale County,AL-065
AL,Henry County,AL-067
AL,Houston County,AL-069
AL,Jackson County,AL-071
AL,Jefferson County,AL-073
AL,Lamar County,AL-075
AL,Lauderdale County,AL-077
AL,Lawrence County,AL-079
AL,Lee County,AL-081
AL,Limestone County,AL-083
AL,Lowndes County,AL-085
AL,Macon County,AL-087
AL,Madison County,AL-089
AL,Marengo County,AL-091
AL,Marion County,AL-093
AL,Marshall County,AL-095
AL,Mobile County,AL-097
AL,Monroe County,AL-099
AL,Montgomery County,AL-101
AL,Morgan County,AL-103
AL,Perry County,AL-105
AL,Pickens County,AL-107
AL,Pike County,AL-109
AL,Randolph County,AL-111
AL,Russell County,AL-113
AL,St. Clair County,AL-115
AL,Shelby County,AL-117
AL,Sumter County,AL-119
AL,Talladega County,AL-121
AL,Tallapoosa County,AL-123
AL,Tuscaloosa County,AL-125
AL,Walker County,AL-127
AL,Washington County,AL-129
AL,Wilcox County,AL-131
AL,Winston County,AL-133
AZ,Apache County,AZ-001
AZ,Cochise County,AZ-003
AZ,Coconino County,AZ-005
AZ,Gila County,AZ-007
AZ,Graham County,AZ-009
AZ,Greenlee County,AZ-011
AZ,La Paz County,AZ-012
AZ,Maricopa County,AZ-013
AZ,Mohave County,AZ-015
AZ,Navajo County,AZ-017
AZ,Pima County,AZ-019
AZ,Pinal County,AZ-021
AZ,Santa Cruz County,AZ-023
AZ,Yavapai County,AZ-025
AZ,Yuma County,AZ-027
AR,Arkansas County,AR-001
AR,Ashley County,AR-003
AR,Baxter County,AR-005
AR,Benton County,AR-007
AR,Boone County,AR-009
AR,Bradley County,AR-011
AR,Calhoun County,AR-013
AR,Carroll County,AR-015
AR,Chicot County,AR-017
AR,Clark County,AR-019
AR,Clay County,AR-021
AR,Cleburne County,AR-023
AR,Cleveland County,AR-025
AR,Columbia County,AR-027
AR,Conway County,AR-029
AR,Craighead County,AR-031
AR,Crawford County,AR-033
AR,Crittenden County,AR-035
AR,Cross County,AR-037
AR,Dallas County,AR-039
AR,Desha County,AR-041
AR,Drew County,AR-043
AR,Faulkner County,AR-045
AR,Franklin County,AR-047
AR,Fulton County,AR-049
AR,Garland County,AR-051
AR,Grant County,AR-053
AR,Greene County,AR-055
AR,Hempstead County,AR-057
AR,Hot Spring County,AR-059
AR,Howard County,AR-061
AR,Independence County,AR-063
AR,Izard County,AR-065
AR,Jackson County,AR-067
AR,Jefferson County,AR-069
AR,Johnson County,AR-071
AR,Lafayette County,AR-073
AR,Lawrence County,AR-075
AR,Lee County,AR-077
AR,Lincoln County,AR-079
AR,Little River County,AR-081
AR,Logan County,AR-083
AR,Lonoke County,AR-085
AR,Madison County,AR-087
AR,Marion County,AR-089
AR,Miller County,AR-091
AR,Mississippi County,AR-093
AR,Monroe County,AR-095
AR,Montgomery County,AR-097
AR,Nevada County,AR-099
AR,Newton County,AR-101
AR,Ouachita County,AR-103
AR,Perry County,AR-105
AR,Phillips County,AR-107
AR,Pike County,AR-109
AR,Poinsett County,AR-111
AR,Polk County,AR-113
AR,Pope County,AR-115
AR,Prairie County,AR-117
AR,Pulaski County,AR-119
AR,Randolph County,AR-121
AR,St. Francis County,AR-123
AR,Saline County,AR-125
AR,Scott County,AR-127
AR,Searcy County,AR-129
AR,Sebastian County,AR-131
AR,Sevier County,AR-133
AR,Sharp County,AR-135
AR,Stone County,AR-137
AR,Union County,AR-139
AR,Van Buren County,AR-141
AR,Washington County,AR-143
AR,White County,AR-145
AR,Woodruff County,AR-147
AR,Yell County,AR-149
CA,Alameda County,CA-001
CA,Alpine County,CA-003
CA,Amador County,CA-005
CA,Butte County,CA-007
CA,Calaveras County,CA-009
CA,Colusa County,CA-011
CA,Contra Costa County,CA-013
CA,Del Norte County,CA-015
CA,El Dorado County,CA-017
CA,Fresno County,CA-019
CA,Glenn County,CA-021
CA,Humboldt County,CA-023
CA,Imperial County,CA-025
CA,Inyo County,CA-027
CA,Kern County,CA-029
CA,Kings County,CA-031
CA,Lake County,CA-033
CA,Lassen County,CA-035
CA,Los Angeles County,CA-037
CA,Madera County,CA-039
CA,Marin County,CA-041
CA,Mariposa County,CA-043
CA,Mendocino County,CA-045
CA,Merced County,CA-047
CA,Modoc County,CA-049
CA,Mono County,CA-051
CA,Monterey County,CA-053
CA,Napa County,CA-055
CA,Nevada County,CA-057
CA,Orange County,CA-059
CA,Placer County,CA-061
CA,Plumas County,CA-063
CA,Riverside County,CA-065
CA,Sacramento County,CA-067
CA,San Benito County,CA-069
CA,San Bernardino County,CA-071
CA,San Diego County,CA-073
CA,San Francisco County,CA-075
CA,San Joaquin County,CA-077
CA,San Luis Obispo County,CA-079
CA,San Mateo County,CA-081
CA,Santa Barbara County,CA-083
CA,Santa Clara County,CA-085
CA,Santa Cruz County,CA-087
CA,Shasta County,CA-089
CA,Sierra County,CA-091
CA,Siskiyou County,CA-093
CA,Solano County,CA-095
CA,Sonoma County,CA-097
CA,Stanislaus County,CA-099
CA,Sutter County,CA-101
CA,Tehama County,CA-103
CA,Trinity County,CA-105
CA,Tulare County,CA-107
CA,Tuolumne County,CA-109
CA,Ventura County,CA-111
CA,Yolo County,CA-113
CA,Yuba County,CA-115
CO,Adams County,CO-001
CO,Alamosa County,CO-003
CO,Arapahoe County,CO-005
CO,Archuleta County,CO-007
CO,Baca County,CO-009
CO,Bent County,CO-011
CO,Boulder County,CO-013
CO,Broomfield County,CO-014
CO,Chaffee County,CO-015
CO,Cheyenne County,CO-017
CO,Clear Creek County,CO-019
CO,Conejos County,CO-021
CO,Costilla County,CO-023
CO,Crowley County,CO-025
CO,Custer County,CO-027
CO,Delta County,CO-029
CO,Denver County,CO-031
CO,Dolores County,CO-033
CO,Douglas County,CO-035
CO,Eagle County,CO-037
CO,Elbert County,CO-039
CO,El Paso County,CO-041
CO,Fremont County,CO-043
CO,Garfield County,CO-045
CO,Gilpin County,CO-047
CO,Grand County,CO-049
CO,Gunnison County,CO-051
CO,Hinsdale County,CO-053
CO,Huerfano County,CO-055
CO,Jackson County,CO-057
CO,Jefferson County,CO-059
CO,Kiowa County,CO-061
CO,Kit Carson County,CO-063
CO,Lake County,CO-065
CO,La Plata County,CO-067
CO,Larimer County,CO-069
CO,Las Animas County,CO-071
CO,Lincoln County,CO-073
CO,Logan County,CO-075
CO,Mesa County,CO-077
CO,Mineral County,CO-079
CO,Moffat County,CO-081
CO,Montezuma County,CO-083
CO,Montrose County,CO-085
CO,Morgan County,CO-087
CO,Otero County,CO-089
CO,Ouray County,CO-091
CO,Park County,CO-093
CO,Phillips County,CO-095
CO,Pitkin County,CO-097
CO,Prowers County,CO-099
CO,Pueblo County,CO-101
CO,Rio Blanco County,CO-103
CO,Rio Grande County,CO-105
CO,Routt County,CO-107
CO,Saguache County,CO-109
CO,San Juan County,CO-111
CO,San Miguel County,CO-113
CO,Sedgwick County,CO-115
CO,Summit County,CO-117
CO,Teller County,CO-119
CO,Washington County,CO-121
CO,Weld County,CO-123
CO,Yuma County,CO-125
CT,Fairfield County,CT-001
CT,Hartford County,CT-003
CT,Litchfield County,CT-005
CT,Middlesex County,CT-007
CT,New Haven County,CT-009
CT,New London County,CT-011
CT,Tolland County,CT-013
CT,Windham County,CT-015
DE,Kent County,DE-001
DE,New Castle County,DE-003
DE,Sussex County,DE-005
FL,Alachua County,FL-001
FL,Baker County,FL-003
FL,Bay County,FL-005
FL,Bradford County,FL-007
FL,Brevard County,FL-009
FL,Broward County,FL-011
FL,Calhoun County,FL-013
FL,Charlotte County,FL-015
FL,Citrus County,FL-017
FL,Clay County,FL-019
FL,Collier County,FL-021
FL,Columbia County,FL-023
FL,DeSoto County,FL-027
FL,Dixie County,FL-029
FL,Duval County,FL-031
FL,Escambia County,FL-033
FL,Flagler County,FL-035
FL,Franklin County,FL-037
FL,Gadsden County,FL-039
